destino	pais	actividad	precio	moneda	rating	viajeros	descripcion	operador	email	telefono	direccion	url_actividad	fecha_scan													
Mompox	Colombia	Tour por las iglesias de Mompox	73.200	COP	3 opiniones	10	El gran patrimonio religioso de Mompox seguro que os sorprende. Sus preciosas iglesias coloniales, decoradas con bellos tonos pastel, destacan entre los principales monumentos de este hermoso pueblo colombiano. || || Itinerario || || A las 10:00 horas, nos reuniremos en vuestro hotel del centro histórico para dar comienzo a este tour a pie por las iglesias de Mompox. || || Tras una breve introducción sobre el pueblo, uno de los más hermosos del departamento colombiano de Bolívar, empezaremos a conocer poco a poco las tradiciones religiosas de la región. La Semana Santa es sin duda uno de los periodos más esperados del año, ya que las procesiones y las fiestas de nazarenos son todo un acontecimiento. || || Mientras paseamos por el casco antiguo de Mompox, declarado Patrimonio de la Humanidad, también conoceremos la historia de sus preciosas iglesias coloniales. Una de las más destacadas es la de la Inmaculada Concepción, que está decorada en tonos blancos y dorados. Seguro que también os llama la atención la iglesia de Santa Bárbara, cuya fachada está presidida por un campanario que alberga un típico balcón colombiano. || || La ruta por el centro histórico también nos permitirá conocer otras historias relacionadas con el fervor religioso de Mompox, como los relatos vinculados al llamado animero y a las serenatas de los muertos. Además, descubriremos por qué era tan importante la antigua procesión de la Virgen del Rosario, y sabréis en qué consiste la solemne fiesta del Cristo Milagroso de la Basílica. || || Finalmente, tras visitar otras iglesias de la zona más antigua del municipio, a las 12:00 horas concluiremos el tour por Mompox en el centro del casco viejo.	Vivir Mompox Sas	vivirmompox@gmail.com	3103564754	Vivir Mompox SAS | Carrera 2 #19-74, Mompos, Colombia	https://www.civitatis.com/es/mompox/tour-iglesias-mompox/	04-02-2026													
Útica	Colombia	Barranquismo y tirolina en Útica	80.000	COP	Sin valorar	10	En esta actividad de barranquismo y tirolina en Útica descargaremos adrenalina en un bello entorno natural del departamento colombiano de Cundinamarca. ¿Os lo vais a perder? || || Itinerario || || Os recogeremos a la hora que elijáis en el Eco Camping Jacamar de Útica, y desde allí nos desplazaremos en un vehículo 4x4 hacia las orillas del río Negro. || || Una vez lleguemos a la ribera, asistiremos a una breve charla de seguridad, nos equiparemos con todo el material necesario y cruzaremos hasta el otro lado del río deslizándonos en tirolina. ¡Será una experiencia muy emocionante! Tras esta vibrante actividad, emprenderemos una ruta de trekking de aproximadamente 30 minutos. || || La caminata por las selvas de Útica concluirá en una hermosa zona de cataratas. Allí, tras ajustarnos los cascos y los arneses, disfrutaremos de una trepidante actividad de barranquismo. Descenderemos por cuatro cataratas de entre 16 y 30 metros, donde también bajaremos por unos espectaculares cañones. || || Al concluir el descenso de barrancos y cañones, nos deslizaremos en tirolina para volver a cruzar el río Negro. En la otra orilla nos estará esperando el 4x4 que nos llevará hasta el punto de encuentro. Una vez allí, repondremos fuerzas con un tentempié que incluye un bocadillo dulce de guayaba, una chocolatina, una mantecada y una bebida. || || Concluiremos la actividad en el punto de partida tres horas después de la recogida.	Contacto Extremo	hola@contactoextremo.com.co	3108802439	Natalia Prieto Rodriguez | CR 61 67 A 41, Útica, Colombia	https://www.civitatis.com/es/utica/barranquismo-tirolina-utica/	04-02-2026													
Medellín	Colombia	Clase de baile en Medellín	90.000	COP	2 opiniones	10	Aprended los pasos de la salsa, cumbia, reguetón, bachata o cualquier ritmo latino que os guste en esta clase de baile en Medellín. Os convertiréis en unos expertos y viviréis una experiencia llena de música, movimiento y cultura latina. || || Itinerario || || A la hora indicada nos encontraremos en la academia de baile que hayáis seleccionado para iniciar nuestra clase de estilos latinos en Medellín. ¿Listos para llevar el ritmo hasta vuestro corazón? || || Podréis elegir el estilo que más os guste: bachata, salsa, reguetón, porro, cumbia, kizomba, afro y zouk. ¡Vosotros decidís! Una vez os decantéis por uno de ellos, disfrutaréis de una clase de una hora de duración en la que el instructor os enseñará el paso a paso y aprendéis de forma personalizada, lo que os permitirá avanzar más rápido, según vuestro ritmo y nivel. ¡Qué privilegio! || || Según el conteo rítmico del género musical, empezaréis a mover las caderas y los pies mientras os vais soltando hasta sentir el ritmo de la música corriendo por vuestras venas. || || Además de aprender a bailar, conoceréis las historias detrás de cada estilo de baile y el significado de sus movimientos. Descubriréis cómo la música conecta con las raíces y tradiciones de diversas culturas en África y Sudamérica. Sin duda, será una experiencia inmersiva en la magia de los ritmos que han trascendido fronteras y generaciones. || || Finalmente, con el baile memorizado, nos despediremos y daremos por concluida la clase. ¡Hasta la próxima! || || Punto de encuentro || || A la hora de hacer la reserva, podréis elegir entre dos sedes de la academia de baile en Medellín: || || Sede Poblado: Carrera 41a. || Sede Laureles: Carrera 69 A.	Drua	daniel42vargas@gmail.com	3104315180	Daniel Vargas Lopez | Finca El Encanto, Envigado, Colombia, Medellín, Colombia	https://www.civitatis.com/es/medellin/clase-baile-medellin/	04-02-2026													
San Agustín	Colombia	Tour del café por la finca Tierra Activa	110.000	COP	Sin valorar	9	En este tour del café por la finca Tierra Activa conoceremos el proceso de recolección, secado y tostado y podréis recoger y seleccionar los granos de café vosotros mismos. || || Itinerario || || A la hora indicada nos encontraremos en la finca Tierra Activa, una hacienda ecológica regentada por mujeres en la que aprenderemos todos los secretos sobre el cultivo del café. ¡Vamos allá! || || Las anfitrionas nos darán la bienvenida con una fruta de cosecha y, a continuación, iniciaremos esta experiencia cafetera conociendo los espacios de la finca dedicados al cultivo del café. Después, os entregaremos un cesto, un costal y un sombrero para recorrer las siembras y recolectar vosotros mismos los granos de café bajo la supervisión de las dueñas de la finca. || || Seguidamente veremos cómo funciona el proceso de fermentación contemplando la máquina despulpadora y los tanques de lavado de café. Después, pasaremos por la zona de secado y haremos una selección de los granos de mejor calidad, aquellos que cumplen los requisitos para obtener el sello de certificación del café orgánico para ser vendido en el mercado internacional. || || La siguiente parte os encantará: prepararemos una taza de café orgánico de forma artesanal. Cada participante tostará unos 30 gramos de café en un tiesto de barro y los molerá en un molino tradicional, para finalmente deleitarnos con una taza de café al más puro estilo colombiano, que acompañaremos con tortas o arepas de maíz. || || Tras esta experiencia inmersiva, nos despediremos después de dos horas de tour. || || Tour con comida || || Si seleccionáis el tour con comida, dependiendo de la hora a la que hayáis reservado, tendréis incluido el desayuno (huevos, fruta, arepas, pan casero, café o chocolate), el almuerzo (entrante, plato principal, postre y una bebida) o la cena (entrante, plato principal y una bebida). || || Tour con transporte || || Si deseáis que os recojamos en vuestro hotel de San Agustín y os llevemos de vuelta al finalizar la actividad, os recomendamos escoger el tour con transporte.	Tierra Activa Turismo Consciente Sas	tierraactivainfo@gmail.com	3124762181	tierra Activa turismo consciente SAS | Finca Tierra Activa Vereda Purutal a 5kms de San Agustin, Huila, San Agustín, Colombia	https://www.civitatis.com/es/san-agustin-colombia/tour-cafe-finca-tierra-activa/	04-02-2026													
Cali	Colombia	Tour de la cerveza artesanal por Cali	160.000	COP	Sin valorar	9	Si estáis en Cali y os apetece un plan divertido, este tour de la cerveza artesanal es perfecto para vosotros. Os llevaremos de cata por los bares más emblemáticos de la ciudad. ¡Este recorrido a pie por la ciudad es ideal para amantes de esta bebida! || || Itinerario || || A la hora indicada nos encontraremos en el Botánico cultura del licor, uno de los bares más populares de la ciudad. Allí, disfrutaremos de una cerveza, Sentiremos la frescura de cada sorbo mientras os explicaremos todo acerca de su origen. ¡Qué buena manera de comenzar! || || Después, según vuestra elección, nos encaminaremos hacia el barrio El Peñón o nos adentraremos en las calles de Granada. En cualquiera de los dos distritos, descubriremos dos bares emblemáticos donde la cerveza artesanal es la protagonista. Un pequeño viaje de sabor que nos conectará con la esencia más auténtica de la vida nocturna caleña. || || Tras conocer el mundo cervecero de la ciudad, nos despediremos después de tres horas y tres horas y media de recorrido. || || Modalidades || || A la hora de hacer vuestra reserva, podréis elegir una de las siguientes modalidades: || || Tour por El Peñón: en este caso, después de disfrutar la primera cerveza en Botánico, visitaremos una tienda de cervezas artesanales, donde podréis elegir una de las cervezas locales y después nos dirigiremos a un bar inglés donde tendremos una experiencia Draft Beer. Si estamos de suerte, podremos disfrutar de música en directo. ¡A bailar se ha dicho! || Tour por Granada: después de salir del primer lugar, iremos a un bar del barrio donde degustaremos una degustación de dos muestras de cerveza de una marca local. La última parada la realizaremos en uno de los bares más populares a nivel nacional. ¿Podréis adivinar de cuál se trata antes de llegar? Si lo lográis, os daremos un premio sorpresa.	Tours Bar Cali	touresbarcali@gmail.com	+57 3128715354	Ana María Lenis Yesquen | CR 17 3 A 44 AP 303 BRR LIBERTADORE, Cali, Colombia	https://www.civitatis.com/es/cali/tour-cerveza-artesanal-cali/	04-02-2026													
Guatapé	Colombia	Excursión a las cavernas de la Peña	190.000	COP	1 opinión	9	Adentraos en las famosas cavernas de la Peña y descubrid la naturaleza de estas cuevas de Antioquia, situadas a solo media hora de Guatapé. ¡Una experiencia que no os podéis perder! || || Itinerario || || Nos reuniremos a la hora indicada en la calle 32 de Guatapé y, desde allí, nos desplazaremos a las cavernas de la Peña, situadas a solo media hora de trayecto. || || Una vez lleguemos a la entrada de las cuevas, nos colocaremos los cascos y nos adentraremos en estas grutas situadas a 100 metros de profundidad. Se trata de un conjunto de galerías subterráneas en las que descubriremos la naturaleza característica de esta zona del departamento colombiano de Antioquia. || || A lo largo del recorrido por las cuevas, que durará 90 minutos, conoceremos los orígenes geológicos de estas cavernas. Apreciaremos además los distintos tipos de rocas y minerales que forman parte de las paredes rocosas de las galerías. || || Mientras exploramos el interior de estas cuevas también conoceremos algunas leyendas sobre ellas, ya que se cree que los indígenas nativos que habitaron en esta zona de Sudamérica ya tenían conocimiento sobre las grutas. || || Finalmente, tras visitar las cavernas emprenderemos el regreso a Guatapé. La llegada al punto de encuentro está prevista cuatro horas después de la recogida.	Corpotur Guatapé Sas	corpotursas@gmail.com	3234353514	Corpotur Guatapé SAS | cra 28 31-77, Guatapé, Colombia	https://www.civitatis.com/es/guatape/excursion-cavernas-pena/	04-02-2026													
Tunja	Colombia	Tour por Tunja	190.000	COP	Sin valorar	9	La historia y la gastronomía son los protagonistas de este tour por Tunja. La hermosa capital del departamento colombiano de Boyacá os cautivará de principio a fin. || || Itinerario || || Os recogeremos a la hora que elijáis en vuestro hotel de Tunja para comenzar a descubrir la pintoresca capital del departamento de Boyacá, cuyo lema es “Cuna y taller de la libertad”. || || Empezaremos este tour por Tunja dirigiéndonos a la plaza Bolívar. En esta explanada veremos la fachada de la catedral de Santiago. Junto a este templo se encuentra la Casa-Museo de Gonzalo Suárez Rendón, donde conoceremos la historia del conquistador español que fundó la ciudad de Tunja el 6 de agosto de 1539. || || Continuaremos el recorrido visitando la Casa-Museo del Escribano Don Juan de Vargas, dedicada a otro destacado personaje de la historia colonial de Tunja. Tras conocer su legado, nos dirigiremos a un restaurante para reponer fuerzas con un almuerzo típico boyacense. El menú incluye un entrante, un plato principal de carne o pescado y una bebida. || || Después de comer, iremos hasta el Bosque de la República, un parque en el que veremos el Paredón de los Mártires, donde recordaremos la historia de destacados personajes. A continuación, nos desplazaremos al Mirador de la Libertad. Desde este observatorio, también llamado la Piedra de Bolívar, disfrutaremos de unas magníficas panorámicas de Tunja. || || La última parada tendrá lugar en el Puente de la Batalla de Boyacá, dedicado a la contienda que permitió la independencia del Virreinato de Nueva Granada. Conoceremos la historia de este acontecimiento clave y, finalmente, emprenderemos el regreso al centro de Tunja. || || La llegada a vuestro hotel está prevista 7 horas después de la recogida.	Proturex Boyacá S.a.s	solercia@gmail.com	3103426590	Promotora Turística Excursiones Boyacá | Calle 11a numero 9a-15, Tunja, Colombia	https://www.civitatis.com/es/tunja/tour-tunja/	05-02-2026													
Coveñas	Colombia	Tour de la cultura zenú	200.000	COP	1 opinión	9	Descubrid uno de los pueblos indígenas de Colombia en este tour de la cultura zenú desde Santiago de Tolú. Además, conoceremos Sincelejo y los secretos del sombrero vueltiao. ¡Os encantará! || || Itinerario || || A la hora indicada pasaremos a recogeros por vuestro hotel de Santiago de Tolú y comenzaremos un increíble tour que nos llevará a conocer la cultura zenú. ¡Descubriréis uno de los pueblos indígenas más importantes de Colombia! || || ¿Sabéis qué es el sombrero vueltiao? Para averiguarlo, nos dirigiremos a las diferentes cunas de esta prenda de vestir típica de la costa del Caribe de Colombia, como son Tuchín, Sampués y Chinú. Aprenderemos cómo se elaboran estos gorros, así como la importancia que tienen para el país. ¡Es un Símbolo Cultural de la Nación! || || Después, nos sumergiremos de lleno en la cultura zenú, un pueblo que históricamente se ha ubicado en los departamentos de Córdoba y Sucre. Descubriremos sus tradiciones, la artesanía que elaboran y el pasado y presente de este grupo indígena, parte fundamental para comprender la identidad cultural de Colombia. || || Tras visitar un poblado zenú, nos dirigiremos a Sincelejo, la capital del departamento de Sucre. Allí haremos un tour a pie por el centro histórico, donde veremos la plaza de Santander y su imponente Catedral de San Francisco de Asís. Además, nos acercaremos a un restaurante para saciar el apetito con un delicioso almuerzo. || || Con las pilas cargadas, emprenderemos el recorrido de vuelta a vuestro hotel de Santiago de Tolú, donde terminaremos la excursión seis horas más tarde.	Bernalo Travels	digital@bexperiens.com	300 1406502	BERNAL LOPEZ S.A.S | CALLE 6 12 450, Coveñas, Colombia	https://www.civitatis.com/es/santiago-de-tolu/tour-cultura-zenu/	05-02-2026													
Neiva	Colombia	Cena en el desierto de la Tatacoa + Visita al Observatorio Astronómico	250.000	COP	Sin valorar	9	En esta excursión desde Neiva os llevaremos a cenar en un restaurante del desierto de la Tatacoa y a conocer todo sobre las estrellas en el Observatorio Astronómico. ¡Un plan de conexión con el paisaje para compartir con tu pareja, amigos o familia! || || Itinerario || || A la hora indicada os recogeremos en vuestro hotel de Neiva y partiremos hacia el desierto de la Tatacoa para disfrutar de una inolvidable experiencia en uno de los sitios más espectaculares de Colombia. || || ¿Sabíais que el desierto de la Tatacoa es en realidad un bosque seco tropical? Se trata de la segunda zona árida más extensa de Colombia, donde a pesar de que se puede llegar a una temperatura media de más de 35 grados, habitan plantas y animales que se han adaptado a dichas condiciones. || || Para contemplar este paraje natural desde un punto privilegiado, os llevaremos al restaurante El Rincón del Cabrito o a la terraza del hotel Cosmos para que degustéis una cena al aire libre. Allí, probaréis la especialidad de la casa: el cabrito asado. Este plato es también uno de los más populares en la región del Huila. || || Tras la cena, y para poner el broche de oro a la actividad, os llevaremos al Observatorio Astronómico Astrosur o al VyctoriaStars Observatorio, dependiendo de la disponibilidad, donde escucharemos una entretenida charla por parte del personal del centro. Nos enseñarán por qué el desierto de la Tatacoa se ha convertido en uno de los puntos más populares del mundo para observar estrellas. Y, si tenemos suerte y el cielo está totalmente despejado, ¡seremos testigos nosotros mismos! || || Finalmente, emprenderemos el camino de regreso al punto de partida, donde llegaremos tras seis horas de excursión.	Viajes Colombia Ancestral	colombiancestral@gmail.com	3155855515	VICTOR ALFONSO MORA VARGAS | Calle 8 #12 - 56, Neiva, Colombia	https://www.civitatis.com/es/neiva/cena-desierto-tatacoa-observatorio-astronomico/	04-02-2026													
Armenia	Colombia	Paseo en balsa de bambú por Quimbaya	258.400	COP	Sin valorar	9	Animaos a dar un paseo en balsa de bambú como unos auténticos indígenas mientras os fascináis con los exuberantes paisajes del municipio colombiano de Quimbaya. ¡Un día en plena naturaleza! || || Itinerario || || Pasaremos a recogeros a las 9:00 horas por vuestro hotel de Armenia. Desde allí, iniciaremos un viaje que nos llevará hasta el municipio de Quimbaya. ¡Que comience la aventura! || || Cuando lleguemos a nuestro destino, antes de subir a las balsas de bambú, os explicaremos cómo se llevará a cabo el recorrido por el río La Vieja. ¿Sabíais que son similares a las que utilizaban los indígenas precolombinos? || || Después de la introducción, ¡ya estamos listos para empezar a navegar por el río! Realizaremos un recorrido de unas cuatro horas de duración. La ruta concreta dependerá de las corrientes fluviales, pero en cualquier caso, los paisajes por los que pasaremos os dejarán sin palabras. || || A mitad del camino, haremos una parada en una finca familiar para descansar y tomar un delicioso almuerzo. ¿Habéis oído hablar del sudado montañero? Se trata de un plato típico del Quindío que se compone de papa, yuca y plátano, con carne de res o de pollo y ensalada. ¡Os encantará! || || Terminaremos la actividad regresando a Armenia a las 14:00 horas aproximadamente.	Victoana Tour	infovictoanatour@gmail.com	3007687001	VICTOANA TOUR S.A.S. | CL 22 NORTE 19 68 MZ B CA 1 A CONJ LOS ANDES, Armenia, Colombia	https://www.civitatis.com/es/armenia-colombia/paseo-balsa-bambu-quimbaya/	04-02-2026													
Villa de Leyva	Colombia	Senderismo por el Santuario de Fauna y Flora Iguaque	340.000	COP	Sin valorar	9	Entre los departamentos colombianos de Boyacá y Santander se encuentra el Santuario de Fauna y Flora Iguaque. Exploraremos sus senderos en busca de especies endémicas con esta ruta de senderismo. || || Itinerario || || A la hora indicada nos encontraremos en la carrera 9 de Villa de Leyva y desde ahí pondremos rumbo hacia el Santuario de Fauna y Flora Iguaque, que hace parte de los parques nacionales de Colombia. || || Una vez allí, daremos comienzo a una ruta de senderismo de aproximadamente 4,5 kilómetros. Durante la caminata, de alrededor de seis horas de duración, pasaremos por páramos repletos de fauna de la región como ardillas, armadillos, conejos y murciélagos. Además, nos toparemos con robles, pinos, musgos, líquenes, orquídeas, helechos y mortiños. No es de extrañar que con tanta variedad esté consagrado como santuario. || || Veremos también la laguna de Iguaque, un acuífero sagrado para los indígenas muiscas en el que habitan hasta tres especies de pájaros carpinteros. ¿Conocéis la leyenda de la diosa Bachué? ¡Atentos a las explicaciones! || || Después llegaremos hasta una altura de 4000 metros de altitud para observar el paraje natural desde la cima. ¡Os encantará! || || Finalmente, nos subiremos al minibús para ponernos en camino de regreso a Villa de Leyva, donde la llegada al punto de encuentro está prevista tras un total de ocho horas.	Expediciones Villa De Leyva	villadeleyvaexpediciones@hotmail.com	+57 3125387863	OSCAR GERARDO SAAVEDRA SAAVEDRA | Cra 9 n 9 -25, Villa de Leyva, Colombia	https://www.civitatis.com/es/villa-de-leyva/senderismo-santuario-fauna-flora-iguaque/	04-02-2026													
Villavicencio	Colombia	Excursión al río Güejar	354.500	COP	Sin valorar	9	En esta excursión al río Güejar recorreremos uno de los enclaves naturales más hermosos del departamento del Meta. ¡Animaos a conectar con la naturaleza del interior de Colombia! || || Itinerario || || Pasaremos a recogeros por vuestro hotel de Villavicencio a las 7:00 horas. Desde allí, iniciaremos un trayecto de tres horas hasta el municipio de Lejanías. ¿Estáis listos para asombraros ante las maravillas que esconde el río Güejar? || || Una vez lleguemos a las inmediaciones del río, iniciaremos una ruta de senderismo de 3,5 kilómetros que nos llevará a descubrir sus rincones más hermosos y su biodiversidad. ¡Os contaremos todas sus peculiaridades! || || A medida que caminamos por la orilla del río Güejar, encontraremos una frondosa vegetación, senderos del verde más intenso e imponentes caídas de agua. La belleza de las cascadas caño Lajón y caño Jordán os dejarán sin palabras. || || Seguiremos la ruta llegando hasta una zona de piscinas y jacuzzis naturales donde podréis tomar un refrescante baño. ¿Se os ha abierto el apetito? No os preocupéis, aprovecharemos esta parada para tomar un almuerzo con las mejores vistas. || || Finalmente, estaremos de vuelta en vuestro hotel de Villavicencio a las 17:00 horas.	Bessones Operacion Turistica	gerencia@bessonesturismocolombia.com	5,73005E+11	Bessones Tourism and Transportation LLC | Stella Rangel Pinilla 1900 BAYSHORE DR STE 1A 136, Miami, Estados Unidos	https://www.civitatis.com/es/villavicencio/excursion-rio-guejar/	04-02-2026													
Pasto	Colombia	Laguna de La Cocha y humedales de Santa Lucía + Pesca en el río Guamúez	361.375	COP	Sin valorar	9	La laguna de La Cocha y los humedales de Santa Lucía son dos de los mejores lugares de los alrededores de Pasto para hacer rutas de senderismo. Animaos a conocerlos con esta excursión, en la que también pescaréis en el río Guámuez. || || Itinerario || || Nos reuniremos a las 7:30 horas frente al monumento de Nariño para dirigirnos hacia la laguna de La Cocha, el primer atractivo natural de nuestro itinerario. En menos de una hora llegaremos al bello paraje de este lago, el segundo más grande de Colombia. || || Aquí iniciaremos una caminata siguiendo la vereda El Puerto, que discurre a orillas de un riachuelo. A continuación, tomaremos una lancha que nos llevará navegando por los humedales de Santa Lucía, una zona protegida donde podremos encontrar los páramos con menor altura del país, situados a 2600 metros sobre el nivel del mar. || || Caminaremos por sus sendas atravesando los valles de frailejones, unas plantas que pueden llegar hasta los dos metros de altura. ¿Sabíais que crecen un centímetro cada año? Seguidamente nos desplazaremos hasta el pueblo de Santa Isabel, donde haremos una parada en la casa de una familia local para degustar un delicioso almuerzo casero. || || Por la tarde, tomaremos otra embarcación con la que navegaremos por el río Guámuez. Aquí practicaremos la pesca deportiva, una de las actividades más populares de la zona. Buscaremos el lugar idóneo para lanzar los anzuelos, y ¡a pescar! || || Después, regresaremos a tierra firme y haremos una parada en un hotel con vistas a la laguna de La Cocha mientras tomamos un refrigerio. Finalmente, regresaremos a Pasto y os dejaremos en el punto de salida en torno a las 19:30 horas.	Tapiz De Retazos	henrylopezunigarro@yahoo.es	+57 3147520605	Henry Lopez Unigarro | Calle 18 A 25 68 oficina 301, Pasto, Colombia	https://www.civitatis.com/es/pasto/laguna-cocha-santa-lucia-pesca-guamuez/	04-02-2026													
Barranquilla	Colombia	Tour gastronómico privado por Barranquilla	407.100	COP	Sin valorar	9	En este tour gastronómico privado por Barranquilla podréis degustar los mejores platos de la región colombiana del Caribe. ¡Se os hará la boca agua! || || Itinerario || || Pasaremos a recogeros por vuestro hotel a la hora que escojáis. Allí comenzaremos un tour gastronómico privado por Barranquilla para descubrir los sabores típicos de la región colombiana del Caribe. ¡Preparad el paladar! || || A lo largo del recorrido, un guía en exclusiva para vuestro grupo os acompañará a degustar platos diferentes que os ayudarán a comprender la fusión de sabores de la cocina costeña. Esta peculiar gastronomía combina ingredientes autóctonos con recetas recuperadas de los indígenas. ¿Lo sabíais? || || Descubriremos varios restaurantes donde los lugareños nos recibirán con los mejores sabores e historias sobre la tradición culinaria. Probaremos la butifarra, una salchicha de cerdo sazonada y todo tipo de botanas fritas hechas con yuca, harina de maíz, plátano verde y mucho queso. Por supuesto, no podía faltar la arepa de huevo, ¡uno de los platos colombianos más tradicionales! || || También nos acercaremos a varios puestos de comida local para degustar y aprender sobre las influencias que hacen que la cocina colombiana tan especial y única. ¡La historia de Colombia está latente en su cocina! En la siguiente parada probaremos una refrescante bebida y los famosos antojitos fríos elaborados con frutas y dulces típicos. || || Además, os iremos hablando sobre antiguas técnicas culinarias, antiguas recetas familiares y numerosas curiosidades de Barranquilla. ¡Os sorprenderá! || || Después de esta completa experiencia gastronómica, regresaremos a vuestro hotel 4 horas más tarde.	Gran Colombia Tours	contact@grancolombiatours.com	+57 321 2528806	Colombian Trips Travel S.A.S. | Cra. 3 #11-32, Bogotá D.C., Colombia	https://www.civitatis.com/es/barranquilla/tour-gastronomico-taller-cocina-costena/	04-02-2026													
Ibagué	Colombia	Excursión al Parque Acuático Piscilago	450.000	COP	1 opinión	9	En esta excursión al Parque Acuático Piscilago desde Ibagué disfrutaremos de divertidas atracciones y conoceremos de cerca a algunas especies endémicas de lo más especiales. || || Itinerario || || Os recogeremos a las 7:30 horas en vuestro hotel de Ibagué y nos pondremos en marcha hacia el Parque Acuático Piscilago, un recinto donde os lo pasaréis en grande. || || Nada más llegar, podréis disfrutar de diferentes atracciones acuáticas como la onda extrema, la pisciloca, el pisciflash, el megatobogán o el pisciclón, dos toboganes de 96 metros de largo. Acabaréis empapados mientras os deslizáis a toda velocidad. || || También tendréis la opción de conocer a los simpáticos animales del zoológico, donde habita el puma, el león, el jaguar, el oso hormiguero y la anaconda, entre otras muchas especies. ¡Cuidado con el caimán llanero! || || Si sois unos apasionados de las aves, no os podéis ir sin ver a los flamencos rosados, pavas, tucanetas, águilas de páramo, loras, tucanes y el rey de los gallinazos. ¿Sabíais que aquí se dedican a la reproducción de las guacamayas, frailes y alcaravanes? Descubriremos los secretos de algunas de las 1897 especies catalogadas en el país. || || Repondremos energías con un almuerzo compuesto de una ensalada, un plato principal, una bebida y un postre. Los más pequeños disfrutarán de dos empanadas, una bebida y un helado con galletas. ¡Buen provecho! || || Tras la comida podréis seguir la aventura o descansar con el sonido de la naturaleza de fondo. Finalmente nos pondremos en camino de regreso a vuestro hotel de Ibagué, donde llegaremos a las 19:00 horas aproximadamente.	Colombiatur	colombiatur@yahoo.com	5,73108E+11	Marco Antonio Ramírez Montealegre | carrera 5a calle 28 Centro comercial la quinta, Ibagué, Colombia	https://www.civitatis.com/es/ibague/excursion-parque-acuatico-piscilago/	04-02-2026													
Cartagena de Indias	Colombia	Excursión a San Juan Nepomuceno y la Reserva Los Colorados	515.300	COP	1 opinión	9	Venid a descubrir uno de los secretos mejor guardados de Colombia en esta excursión a San Juan Nepomuceno y a la Reserva Los Colorados desde Cartagena. ¡Historia y naturaleza se combinan a la perfección! || || Itinerario || || A la hora indicada pasaremos a recogeros por vuestro hotel de Cartagena para iniciar esta excursión a San Juan Nepomuceno y la Reserva Los Colorados. ¡Vamos allá! || || Tras aproximadamente una hora y media de recorrido, haremos una parada en San Cayetano para tomar un desayuno típico colombiano. Después, llegaremos a nuestro primer destino del día: la Reserva Los Colorados. || || Durante alrededor de dos horas y media, caminaremos por esta maravilla natural repleta de flora y fauna. Los árboles de este bosque tropical alcanzan los 30 metros de altura, y en su interior viven hasta 280 especies de aves distintas. Además, ¿sabíais que su nombre rinde homenaje al mono colorado? || || A continuación, repondremos fuerzas con un rico almuerzo y, con las pilas cargadas, pondremos rumbo hacia San Juan Nepomuceno. Este pintoresco municipio está ubicado en los Montes de María, una subregión de los departamentos de Bolívar y Sucre que se caracteriza por su tradición agrícola. ¡Os encantará recorrer sus bonitas calles! || || Finalmente, nos despediremos en el punto de partida once horas después del inicio de la actividad. ¡Hasta otra! || || Recogida || || Esta excursión solo incluye la recogida en los hoteles de las siguientes zonas de Cartagena de Indias: Centro, Bocagrande, Laguito y Getsemaní. Si os alojáis en otra área de la ciudad, debéis acudir al siguiente punto de encuentro: Monumento Torre del Reloj.	Vivamos Colombia Travel	pavapaola@gmail.com	+57 3142839340	VIVAMOS COLOMBIA DMC SAS | MZ H PRIMA LT 11 BRR VILLAGRANDE DE LAS INDIAS, Cartagena, Colombia	https://www.civitatis.com/es/cartagena-de-indias/excursion-san-juan-nepomuceno-colorados/	04-02-2026													
Manizales	Colombia	Excursión al Nevado de Santa Isabel	546.423	COP	1 opinión	9	Exploraremos el Nevado de Santa Isabel al completo en esta excursión desde Manizales. La forma perfecta de conseguir unas fotografías únicas de una de las montañas más altas de la Cordillera Central de Colombia. || || Itinerario || || Tras pasar a recogeros por vuestro hotel de Manizales a las 4:00 horas, pondremos rumbo al Nevado de Santa Isabel. Durante el camino podréis contemplar los espectaculares paisajes de montaña que ofrece esta parte colombiana. Formaciones geológicas, cascadas y bosques primarios serán algunos de los elementos naturales que podréis admirar. || || Con suerte y si el tiempo nos lo permite, podremos admirar el cóndor andino en pleno vuelo, muestra de la biodiversidad que tiene esta zona alta en el municipio de Villa María. El Nevado de Santa Isabel cuenta con una gran cantidad de lagunas, además de contar en su cima con una de las mayores masas glaciares del país. || || Realizaremos una parada para estirar las piernas y tomar fuerzas con un desayuno. Después regresaremos al autobús y nos iremos acercando poco a poco hasta los esperados glaciares residuales del Nevado de Santa Isabel. Es importante que recordéis que el nivel de exigencia para llegar hasta el Nevado es alto, pues pasaremos unas tres horas subiendo y otras dos horas de descenso aproximadamente. Para ello, contaréis en todo momento con un guía especializado que os ayudará en todo momento. || || Una vez que lleguemos a la parte más alta hasta la que podemos acceder, iniciaremos el descenso admirando un paisaje único en Colombia. Llegados abajo, disfrutaremos de un reconfortante almuerzo, antes de regresar en autobús a Manizales. La llegada a vuestro hotel está prevista para las 19:00 horas.	Destinos Y Rutas De Colombia	destinosyrutasdecolombia@gmail.com	+57 313 6136170	ISABEL CRISTINA ALZATE | CR 43 B 11 A 10, Manizales, Colombia	https://www.civitatis.com/es/manizales/excursion-nevado-santa-isabel/	04-02-2026													
